--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                  | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                            
--------------------------------------------------------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------
All files                                                                             |   40.15 |    12.11 |   14.16 |   39.54 |                                                                                                                                                              
 app                                                                                  |   96.37 |      100 |      80 |   98.74 |                                                                                                                                                              
  app-routing.module.ts                                                               |   43.75 |      100 |       0 |    62.5 | 12-20                                                                                                                                                        
  app.global.ts                                                                       |     100 |      100 |     100 |     100 |                                                                                                                                                              
  content-strings.ts                                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                              
 app/core/classes                                                                     |      95 |       50 |    87.5 |      95 |                                                                                                                                                              
  extendable-state-manager.ts                                                         |     100 |      100 |     100 |     100 |                                                                                                                                                              
  service-state-facade.ts                                                             |     100 |      100 |     100 |     100 |                                                                                                                                                              
  single-entity-state-manager.ts                                                      |     100 |      100 |     100 |     100 |                                                                                                                                                              
  state-manager.ts                                                                    |   88.88 |       50 |      75 |   88.88 | 23                                                                                                                                                           
 app/core/facades/appEvents                                                           |   31.57 |      100 |       0 |   38.46 |                                                                                                                                                              
  app-events.facade.service.ts                                                        |   31.57 |      100 |       0 |   38.46 | 11-37                                                                                                                                                        
 app/core/facades/auth                                                                |   45.65 |    33.33 |   11.53 |   47.61 |                                                                                                                                                              
  auth.facade.service.ts                                                              |   45.65 |    33.33 |   11.53 |   47.61 | 31-41,47-105                                                                                                                                                 
 app/core/facades/content-strings                                                     |   25.42 |        0 |    9.09 |      25 |                                                                                                                                                              
  content-strings.facade.service.ts                                                   |   25.42 |        0 |    9.09 |      25 | 25-29,41-48,57-202                                                                                                                                           
 app/core/facades/environment                                                         |   70.31 |    39.13 |      40 |   69.35 |                                                                                                                                                              
  environment.facade.service.ts                                                       |   70.31 |    39.13 |      40 |   69.35 | 37,58-59,77-99,123-187,195-198                                                                                                                               
 app/core/facades/favourite-merchant                                                  |   41.17 |        0 |       0 |    37.5 |                                                                                                                                                              
  favorite-merchants-facade.service.ts                                                |   41.17 |        0 |       0 |    37.5 | 13-42                                                                                                                                                        
 app/core/facades/identity                                                            |   34.56 |    13.33 |     3.7 |   34.61 |                                                                                                                                                              
  identity.facade.service.ts                                                          |   34.56 |    13.33 |     3.7 |   34.61 | 36-194                                                                                                                                                       
 app/core/facades/institution                                                         |   34.54 |        0 |     5.4 |   33.96 |                                                                                                                                                              
  institution.facade.service.ts                                                       |   34.54 |        0 |     5.4 |   33.96 | 31-61,67-177                                                                                                                                                 
